Semaine;Réunion (RE);Mayotte (YT);Madagascar (MG)
2019-01-06;62,00;49,00;186,00
2019-01-13;70,00;44,00;140,00
2019-01-20;61,00;18,00;148,69
2019-01-27;18,00;36,00;31,09
2019-02-03;37,00;23,00;44,79
2019-02-10;51,00;37,00;51,00
2019-02-17;19,00;28,00;19,00
2019-02-24;43,00;49,00;25,80
2019-03-03;46,00;28,00;46,00
2019-03-10;32,00;28,00;24,00
2019-03-17;20,00;45,26;36,00
2019-03-24;43,00;53,00;8,19
2019-03-31;24,00;38,61;24,00
2019-04-07;41,00;14,00;16,40
2019-04-14;100,00;25,00;200,00
2019-04-21;54,00;10,00;36,00
2019-04-28;27,00;14,00;12,00
2019-05-05;40,00;9,00;13,33
2019-05-12;23,00;19,00;23,00
2019-05-19;45,00;32,00;78,75
2019-05-26;60,00;14,00;40,00
2019-06-02;55,00;28,00;86,84
2019-06-09;47,00;24,00;70,50
2019-06-16;70,00;9,00;105,00
2019-06-23;42,00;9,00;84,00
2019-06-30;69,00;23,00;69,00
2019-07-07;63,00;55,00;94,50
2019-07-14;29,00;29,00;14,50
2019-07-21;25,00;45,00;75,00
2019-07-28;34,00;24,00;76,50
2019-08-04;48,00;34,00;37,03
2019-08-11;51,00;47,00;51,00
2019-08-18;52,00;33,00;130,00
2019-08-25;32,00;33,00;224,00
2019-09-01;40,00;32,00;40,00
2019-09-08;59,00;27,00;118,00
2019-09-15;41,00;32,00;58,26
2019-09-22;35,00;22,00;17,50
2019-09-29;89,00;22,00;368,71
2019-10-06;49,00;22,00;107,80
2019-10-13;36,00;22,00;27,31
2019-10-20;34,00;22,00;12,90
2019-10-27;60,00;17,00;8,28
2019-11-03;67,00;21,00;59,82
2019-11-10;72,00;47,00;378,00
2019-11-17;42,00;55,00;53,45
2019-11-24;50,00;46,00;50,00
2019-12-01;30,00;21,00;30,00
2019-12-08;34,00;26,00;43,27
2019-12-15;35,00;9,00;35,00
2019-12-22;73,00;25,00;73,00
2019-12-29;74,00;32,00;348,86
2020-01-05;89,00;16,00;127,14
2020-01-12;47,00;24,00;82,94
2020-01-19;81,00;49,00;92,57
2020-01-26;37,00;16,00;37,00
2020-02-02;40,00;48,00;11,76
2020-02-09;31,00;47,00;59,79
2020-02-16;29,00;25,00;44,62
2020-02-23;36,00;16,00;133,71
2020-03-01;58,00;20,00;58,00
2020-03-08;52,00;19,00;7,09
2020-03-15;37,00;4,00;61,67
2020-03-22;18,00;19,00;18,00
2020-03-29;26,00;7,00;26,00
2020-04-05;12,00;8,00;12,00
2020-04-12;35,00;12,00;0,00
2020-04-19;26,00;26,00;65,00
2020-04-26;18,00;7,00;18,00
2020-05-03;18,00;18,00;9,00
2020-05-10;41,00;15,00;82,00
2020-05-17;35,00;20,00;17,50
2020-05-24;23,00;23,00;3,00
2020-05-31;22,00;19,00;44,00
2020-06-07;41,00;4,00;49,20
2020-06-14;22,00;19,00;44,00
2020-06-21;47,00;12,00;11,75
2020-06-28;38,00;4,00;31,67
2020-07-05;27,00;12,00;3,68
2020-07-12;41,00;8,00;31,54
2020-07-19;21,00;13,00;3,71
2020-07-26;34,00;4,00;34,00
2020-08-02;46,00;25,00;107,33
2020-08-09;36,00;20,00;66,86
2020-08-16;25,00;4,00;32,69
2020-08-23;24,00;16,00;24,00
2020-08-30;28,00;20,00;14,00
2020-09-06;33,00;12,00;9,90
2020-09-13;24,00;16,00;10,00
2020-09-20;32,00;20,00;41,60
2020-09-27;33,00;8,00;23,10
2020-10-04;33,00;41,00;0,00
2020-10-11;30,00;39,00;30,00
2020-10-18;14,00;42,00;0,00
2020-10-25;37,00;12,00;86,33
2020-11-01;15,00;0,00;35,00
2020-11-08;20,00;25,00;10,77
2020-11-15;32,00;33,00;32,00
2020-11-22;8,00;24,00;7,00
2020-11-29;17,00;12,75;7,00
2020-12-06;31,00;12,00;103,33
2020-12-13;100,00;25,53;39,00
2020-12-20;58,00;11,35;16,00
2020-12-27;42,00;35,54;21,00
2021-01-03;35,00;12,00;22,04
2021-01-10;35,00;12,00;15,17
2021-01-17;38,00;19,00;22,52
2021-01-24;27,00;19,00;20,65
2021-01-31;42,00;19,00;182,00
2021-02-07;39,00;8,00;54,60
2021-02-14;14,00;35,00;14,00
2021-02-21;28,00;12,00;39,53
2021-02-28;23,00;12,00;53,67
2021-03-07;21,00;17,68;4,00
2021-03-14;25,00;15,00;4,41
2021-03-21;16,00;12,00;14,00
2021-03-28;22,00;9,00;11,00
2021-04-04;24,00;12,00;48,00
2021-04-11;8,00;15,00;4,00
2021-04-18;20,00;0,00;55,00
2021-04-25;12,00;4,00;4,00
2021-05-02;15,00;26,00;15,00
2021-05-09;16,00;12,00;0,00
2021-05-16;34,00;30,00;0,00
2021-05-23;36,00;8,00;9,60
2021-05-30;37,00;21,00;37,00
2021-06-06;16,00;12,00;7,00
2021-06-13;24,00;8,00;90,00
2021-06-20;57,00;8,00;15,20
2021-06-27;25,00;8,00;25,00
2021-07-04;15,00;71,25;11,00
2021-07-11;21,00;8,00;0,00
2021-07-18;28,00;9,33;4,00
2021-07-25;31,00;9,00;8,27
2021-08-01;52,00;35,00;21,89
2021-08-08;32,00;23,00;8,00
2021-08-15;35,00;18,00;48,13
2021-08-22;37,00;24,00;37,00
2021-08-29;50,00;9,00;25,00
2021-09-05;33,00;9,00;8,00
2021-09-12;36,00;9,00;36,00
2021-09-19;47,00;9,00;15,67
2021-09-26;22,00;9,00;0,00
2021-10-03;38,00;17,00;88,67
2021-10-10;41,00;19,00;20,50
2021-10-17;45,00;6,00;18,95
2021-10-24;37,00;12,00;37,00
2021-10-31;27,00;27,00;19,96
2021-11-07;36,00;3,00;16,36
2021-11-14;59,00;12,00;42,91
2021-11-21;26,00;17,00;16,00
2021-11-28;26,00;15,00;9,75
2021-12-05;72,00;3,00;39,27
2021-12-12;32,00;3,00;0,00
2021-12-19;59,00;32,00;41,30
2021-12-26;78,00;32,00;0,00
